               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.054449,            0.012795,                   0,             0.99501,             0.99449,             0.99456,             0.57936,            0.028558,           0.0070581,                   0,           0.0033325,           0.0033325,            0.070007
                   1,            0.028074,           0.0072795,                   0,             0.99825,             0.99834,              0.9973,             0.68674,            0.021658,           0.0059468,                   0,           0.0066657,           0.0066657,            0.040007
                   2,            0.023135,           0.0064291,                   0,             0.99911,             0.99896,             0.99725,              0.7101,            0.020337,           0.0057029,                   0,           0.0099983,           0.0099983,            0.010007
                   3,            0.021241,             0.00604,                   0,             0.99941,             0.99946,              0.9978,             0.71713,            0.019978,           0.0056185,                   0,            0.009998,            0.009998,            0.009998
                   4,            0.020312,           0.0058288,                   0,              0.9994,             0.99946,             0.99782,             0.72164,            0.019814,            0.005598,                   0,            0.009998,            0.009998,            0.009998
                   5,            0.019929,           0.0057338,                   0,             0.99947,             0.99953,             0.99788,             0.72284,            0.019772,           0.0055863,                   0,           0.0099965,           0.0099965,           0.0099965
                   6,            0.019628,           0.0056634,                   0,             0.99948,              0.9995,             0.99797,              0.7239,            0.019782,           0.0055853,                   0,           0.0099945,           0.0099945,           0.0099945
                   7,            0.019411,           0.0056089,                   0,             0.99946,             0.99954,             0.99819,             0.72454,            0.019775,           0.0055816,                   0,           0.0099921,           0.0099921,           0.0099921
                   8,            0.019279,           0.0055733,                   0,             0.99944,             0.99958,             0.99834,             0.72524,            0.019761,           0.0055763,                   0,           0.0099893,           0.0099893,           0.0099893
                   9,            0.019111,           0.0055378,                   0,              0.9995,             0.99963,             0.99849,             0.72637,            0.019719,            0.005568,                   0,            0.009986,            0.009986,            0.009986
                  10,            0.019034,           0.0055322,                   0,             0.99952,             0.99962,             0.99848,             0.72601,            0.019704,           0.0055617,                   0,           0.0099822,           0.0099822,           0.0099822
                  11,            0.018956,           0.0055039,                   0,             0.99954,             0.99967,             0.99844,             0.72664,            0.019639,           0.0055484,                   0,           0.0099781,           0.0099781,           0.0099781
                  12,            0.018846,           0.0054757,                   0,             0.99959,              0.9997,             0.99859,             0.72755,            0.019588,           0.0055345,                   0,           0.0099735,           0.0099735,           0.0099735
                  13,            0.018788,           0.0054639,                   0,             0.99958,             0.99969,              0.9986,             0.72797,            0.019535,           0.0055207,                   0,           0.0099685,           0.0099685,           0.0099685
                  14,            0.018706,           0.0054689,                   0,             0.99958,             0.99972,             0.99859,             0.72827,            0.019489,             0.00551,                   0,            0.009963,            0.009963,            0.009963
                  15,            0.018626,           0.0054222,                   0,             0.99963,             0.99973,             0.99856,             0.72863,            0.019444,           0.0055018,                   0,           0.0099571,           0.0099571,           0.0099571
                  16,            0.018576,           0.0054348,                   0,             0.99967,             0.99969,             0.99861,             0.72902,            0.019417,           0.0054974,                   0,           0.0099508,           0.0099508,           0.0099508
                  17,            0.018541,           0.0054197,                   0,             0.99964,             0.99971,             0.99862,             0.72908,            0.019399,           0.0054931,                   0,            0.009944,            0.009944,            0.009944
                  18,            0.018435,           0.0053934,                   0,             0.99961,             0.99973,             0.99862,             0.72913,            0.019375,           0.0054886,                   0,           0.0099368,           0.0099368,           0.0099368
                  19,            0.018435,           0.0053915,                   0,             0.99963,             0.99973,             0.99863,             0.72916,            0.019356,           0.0054835,                   0,           0.0099291,           0.0099291,           0.0099291
                  20,            0.018394,           0.0053869,                   0,             0.99963,             0.99972,             0.99863,             0.72889,            0.019346,           0.0054817,                   0,           0.0099211,           0.0099211,           0.0099211
                  21,            0.018356,           0.0053741,                   0,             0.99957,             0.99977,             0.99865,             0.72896,            0.019325,           0.0054792,                   0,           0.0099126,           0.0099126,           0.0099126
                  22,            0.018304,            0.005375,                   0,              0.9995,              0.9998,             0.99868,               0.729,            0.019308,           0.0054775,                   0,           0.0099037,           0.0099037,           0.0099037
                  23,            0.018251,           0.0053525,                   0,              0.9995,             0.99981,             0.99865,             0.72935,            0.019291,           0.0054762,                   0,           0.0098943,           0.0098943,           0.0098943
                  24,            0.018233,           0.0053431,                   0,             0.99956,             0.99981,              0.9987,             0.72944,            0.019259,           0.0054729,                   0,           0.0098845,           0.0098845,           0.0098845
                  25,            0.018206,           0.0053467,                   0,             0.99955,             0.99982,             0.99872,             0.72883,            0.019271,           0.0054755,                   0,           0.0098743,           0.0098743,           0.0098743
                  26,            0.018183,           0.0053356,                   0,             0.99949,             0.99984,             0.99868,              0.7291,            0.019254,           0.0054742,                   0,           0.0098637,           0.0098637,           0.0098637
                  27,            0.018143,            0.005336,                   0,             0.99956,             0.99979,             0.99871,             0.72911,            0.019244,           0.0054714,                   0,           0.0098527,           0.0098527,           0.0098527
                  28,            0.018132,            0.005317,                   0,              0.9995,             0.99988,             0.99867,              0.7292,            0.019228,           0.0054678,                   0,           0.0098412,           0.0098412,           0.0098412
                  29,            0.018099,            0.005319,                   0,             0.99963,              0.9998,             0.99872,             0.72974,              0.0192,           0.0054639,                   0,           0.0098293,           0.0098293,           0.0098293
                  30,            0.018065,           0.0053053,                   0,             0.99964,             0.99983,              0.9987,              0.7298,            0.019189,           0.0054617,                   0,            0.009817,            0.009817,            0.009817
                  31,            0.018028,           0.0053134,                   0,             0.99956,             0.99986,             0.99875,             0.73075,            0.019157,           0.0054567,                   0,           0.0098042,           0.0098042,           0.0098042
                  32,            0.018034,            0.005306,                   0,             0.99963,             0.99978,             0.99875,             0.73137,            0.019125,           0.0054526,                   0,           0.0097911,           0.0097911,           0.0097911
                  33,               0.018,           0.0052923,                   0,             0.99965,             0.99979,              0.9987,             0.73073,             0.01912,           0.0054499,                   0,           0.0097775,           0.0097775,           0.0097775
                  34,            0.017967,           0.0052913,                   0,              0.9996,             0.99986,              0.9987,             0.73046,            0.019114,           0.0054486,                   0,           0.0097635,           0.0097635,           0.0097635
                  35,            0.018013,           0.0053052,                   0,             0.99959,             0.99988,             0.99865,             0.73075,            0.019108,           0.0054477,                   0,           0.0097491,           0.0097491,           0.0097491
                  36,            0.017943,           0.0052791,                   0,             0.99965,             0.99979,             0.99871,             0.73096,            0.019096,           0.0054474,                   0,           0.0097343,           0.0097343,           0.0097343
                  37,            0.017946,           0.0052892,                   0,             0.99955,             0.99987,             0.99873,             0.73122,            0.019077,           0.0054463,                   0,           0.0097191,           0.0097191,           0.0097191
                  38,             0.01793,           0.0052742,                   0,              0.9996,             0.99983,             0.99869,              0.7317,            0.019066,           0.0054439,                   0,           0.0097035,           0.0097035,           0.0097035
                  39,             0.01789,           0.0052859,                   0,             0.99966,             0.99982,             0.99866,             0.73234,            0.019049,           0.0054411,                   0,           0.0096875,           0.0096875,           0.0096875
                  40,            0.017893,           0.0052625,                   0,             0.99966,             0.99983,             0.99857,             0.73253,            0.019029,           0.0054397,                   0,            0.009671,            0.009671,            0.009671
                  41,            0.017848,           0.0052627,                   0,             0.99966,             0.99979,             0.99843,             0.73274,            0.019024,           0.0054396,                   0,           0.0096542,           0.0096542,           0.0096542
                  42,            0.017854,           0.0052615,                   0,             0.99962,             0.99984,             0.99845,             0.73303,            0.019015,           0.0054379,                   0,           0.0096369,           0.0096369,           0.0096369
                  43,            0.017825,           0.0052608,                   0,             0.99964,             0.99983,             0.99844,             0.73319,            0.019008,            0.005437,                   0,           0.0096193,           0.0096193,           0.0096193
                  44,            0.017805,           0.0052481,                   0,             0.99964,             0.99984,             0.99838,             0.73339,            0.018992,           0.0054339,                   0,           0.0096013,           0.0096013,           0.0096013
                  45,            0.017804,           0.0052418,                   0,             0.99961,             0.99985,             0.99844,             0.73331,            0.019001,            0.005433,                   0,           0.0095828,           0.0095828,           0.0095828
                  46,            0.017773,           0.0052381,                   0,             0.99963,             0.99981,             0.99842,             0.73272,            0.019009,           0.0054343,                   0,            0.009564,            0.009564,            0.009564
                  47,            0.017713,           0.0052477,                   0,             0.99962,             0.99981,             0.99818,             0.73276,            0.018998,           0.0054327,                   0,           0.0095448,           0.0095448,           0.0095448
                  48,            0.017761,           0.0052394,                   0,             0.99961,             0.99981,             0.99821,             0.73296,            0.018993,           0.0054331,                   0,           0.0095252,           0.0095252,           0.0095252
                  49,            0.017731,           0.0052359,                   0,             0.99962,             0.99982,             0.99824,             0.73363,            0.018974,           0.0054296,                   0,           0.0095052,           0.0095052,           0.0095052
                  50,            0.017732,           0.0052434,                   0,             0.99962,             0.99981,             0.99824,             0.73354,            0.018969,           0.0054291,                   0,           0.0094849,           0.0094849,           0.0094849
                  51,            0.017736,           0.0052279,                   0,             0.99963,             0.99981,              0.9982,             0.73345,            0.018956,           0.0054265,                   0,           0.0094641,           0.0094641,           0.0094641
                  52,            0.017698,           0.0052326,                   0,             0.99963,             0.99982,              0.9982,             0.73369,             0.01894,            0.005424,                   0,            0.009443,            0.009443,            0.009443
                  53,            0.017671,           0.0052227,                   0,              0.9996,             0.99982,             0.99819,              0.7336,            0.018945,           0.0054244,                   0,           0.0094215,           0.0094215,           0.0094215
                  54,            0.017681,           0.0052179,                   0,             0.99965,             0.99982,             0.99821,             0.73363,            0.018957,           0.0054249,                   0,           0.0093996,           0.0093996,           0.0093996
                  55,            0.017688,           0.0052172,                   0,             0.99959,             0.99982,             0.99816,             0.73374,            0.018949,           0.0054229,                   0,           0.0093773,           0.0093773,           0.0093773
                  56,            0.017669,           0.0052166,                   0,             0.99958,              0.9998,             0.99816,             0.73384,            0.018939,           0.0054204,                   0,           0.0093547,           0.0093547,           0.0093547
                  57,            0.017661,           0.0052149,                   0,             0.99961,             0.99978,             0.99816,             0.73375,            0.018937,           0.0054209,                   0,           0.0093317,           0.0093317,           0.0093317
