               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.032342,            0.010503,                   0,             0.99873,             0.99896,             0.99765,             0.69654,            0.020605,           0.0085351,                   0,           0.0033325,           0.0033325,            0.070007
                   1,             0.01946,           0.0071392,                   0,             0.99909,             0.99936,             0.99865,             0.72308,            0.019104,            0.008274,                   0,           0.0066657,           0.0066657,            0.040007
                   2,            0.017554,           0.0069196,                   0,             0.99912,             0.99971,             0.99893,             0.72845,            0.018759,           0.0081802,                   0,           0.0099983,           0.0099983,            0.010007
                   3,            0.016961,           0.0067856,                   0,             0.99947,             0.99968,             0.99916,             0.73356,            0.018583,           0.0081143,                   0,            0.009998,            0.009998,            0.009998
                   4,            0.016442,           0.0066362,                   0,             0.99944,             0.99972,             0.99917,             0.73419,            0.018507,           0.0080973,                   0,            0.009998,            0.009998,            0.009998
                   5,             0.01621,           0.0065677,                   0,             0.99947,             0.99974,             0.99921,             0.73319,            0.018524,           0.0080949,                   0,           0.0099965,           0.0099965,           0.0099965
                   6,            0.016096,           0.0065439,                   0,             0.99951,              0.9997,             0.99929,             0.73228,             0.01854,           0.0080948,                   0,           0.0099945,           0.0099945,           0.0099945
                   7,             0.01592,           0.0064731,                   0,             0.99949,             0.99967,             0.99931,             0.73207,            0.018546,           0.0080914,                   0,           0.0099921,           0.0099921,           0.0099921
                   8,            0.015864,           0.0064511,                   0,             0.99955,             0.99961,             0.99931,             0.73248,            0.018526,           0.0080871,                   0,           0.0099893,           0.0099893,           0.0099893
                   9,            0.015778,           0.0064302,                   0,              0.9995,              0.9997,              0.9993,             0.73326,            0.018496,           0.0080845,                   0,            0.009986,            0.009986,            0.009986
                  10,            0.015692,           0.0063948,                   0,             0.99953,             0.99968,             0.99931,             0.73442,            0.018451,            0.008075,                   0,           0.0099822,           0.0099822,           0.0099822
                  11,            0.015683,           0.0064035,                   0,             0.99953,             0.99967,             0.99928,             0.73532,            0.018424,           0.0080692,                   0,           0.0099781,           0.0099781,           0.0099781
                  12,             0.01563,           0.0063752,                   0,             0.99954,             0.99969,              0.9993,             0.73582,              0.0184,           0.0080672,                   0,           0.0099735,           0.0099735,           0.0099735
                  13,            0.015602,           0.0063922,                   0,             0.99957,             0.99967,             0.99924,             0.73702,             0.01836,           0.0080622,                   0,           0.0099685,           0.0099685,           0.0099685
                  14,             0.01556,           0.0063711,                   0,             0.99957,             0.99964,             0.99921,              0.7384,            0.018307,           0.0080523,                   0,            0.009963,            0.009963,            0.009963
                  15,            0.015529,           0.0063524,                   0,              0.9995,             0.99965,             0.99918,             0.73934,            0.018281,           0.0080453,                   0,           0.0099571,           0.0099571,           0.0099571
                  16,            0.015545,           0.0063494,                   0,             0.99955,             0.99968,             0.99919,             0.74026,            0.018245,           0.0080384,                   0,           0.0099508,           0.0099508,           0.0099508
